Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,CasesPer1M,DeathsPer1M,TotalTests,TestsPer1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,NewCasesPer1M,NewDeathsPer1M,ActiveCasesPer1M,MortalityRate
North America,131889132,,1695941.0,,127665129.0,350.0,2528062.0,6095.0,,,,,,North America,,,,,,,0.012858838133835015
Asia,221500265,,1553662.0,,205673091.0,,14273512.0,14733.0,,,,,,Asia,,,,,,,0.007014267003247152
Europe,253406198,,2101824.0,,248754104.0,474.0,2550270.0,4453.0,,,,,,Europe,,,,,,,0.008294288050523532
South America,70200879,,1367332.0,,66683585.0,,2149962.0,8953.0,,,,,,South America,,,,,,,0.01947741993373046
Oceania,14895771,,33015.0,,14752388.0,,110368.0,31.0,,,,,,Australia/Oceania,,,,,,,0.0022164008831768427
Africa,12860924,,258892.0,,12090808.0,,511224.0,529.0,,,,,,Africa,,,,,,,0.020130124398526888
,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,0.020804438280166437
World,704753890,0.0,7010681.0,0.0,675619811.0,790.0,22123398.0,34794.0,90413.0,899.4,,,,All,,,,,,,0.009947701033618984
USA,111820082,,1219487.0,,109814428.0,,786167.0,940.0,333985.0,3642.0,1186851502.0,3544901.0,334805269.0,North America,3,275,0.0,,,2348.0,0.01090579597321347
India,45035393,,533570.0,,,,,,32016.0,379.0,935879495.0,665334.0,1406631776.0,Asia,31,"2,636",2.0,,,0.4,0.011847792690517878
France,40138560,,167642.0,,39970918.0,,0.0,,612013.0,2556.0,271490188.0,4139547.0,65584518.0,Europe,2,391,0.0,,,,0.0041765823188475125
Germany,38828995,,183027.0,,38240600.0,,405368.0,,462891.0,2182.0,122332384.0,1458359.0,83883596.0,Europe,2,458,1.0,,,4833.0,0.0047136682265405015
Brazil,38743918,,711380.0,,36249161.0,,1783377.0,,179908.0,3303.0,63776166.0,296146.0,215353593.0,South America,6,303,3.0,,,8281.0,0.0183610754080163
S. Korea,34571873,,35934.0,,34535939.0,,0.0,,673523.0,700.0,15804065.0,307892.0,51329899.0,Asia,1,"1,428",3.0,,,,0.0010393998612687255
Japan,33803572,,74694.0,,,,,,269169.0,595.0,100414883.0,799578.0,125584838.0,Asia,4,"1,681",1.0,,,95582.0,0.002209648140143296
Italy,26723249,,196487.0,,26361218.0,,165544.0,22.0,443445.0,3261.0,281126449.0,4665010.0,60262770.0,Europe,2,307,0.0,,,2747.0,0.007352661347428226
UK,24910387,,232112.0,,24678275.0,,0.0,,363666.0,3389.0,522526476.0,7628357.0,68497907.0,Europe,3,295,0.0,,,,0.009317880127675255
